Elapsed Time (ms),Package Energy (µJ),DRAM Energy (µJ),Temperature (C°),,,,
4008.375037,156400000,2360000,28.6666666666667,4.008375037,156.4,2.36,344
4002.059729,154330000,2360000,39.5833333333333,4.002059729,154.33,2.36,475
4006.136115,153880000,2360000,39.9166666666667,4.006136115,153.88,2.36,479
4006.583364,156310000,2360000,18.5833333333333,4.006583364,156.31,2.36,223
3991.830468,155200000,2340000,40.3333333333333,3.991830468,155.2,2.34,484
4005.034607,155780000,2360000,23.9166666666667,4.005034607,155.78,2.36,287
4005.203578,156140000,2360000,20.4166666666667,4.005203578,156.14,2.36,245
4036.937292,157250000,2390000,29,4.036937292,157.25,2.39,348
4009.104788,156170000,2370000,39.6666666666667,4.009104788,156.17,2.37,476
4007.220485,155750000,2360000,39,4.007220485,155.75,2.36,468
4032.533051,155140000,2380000,29.5833333333333,4.032533051,155.14,2.38,355
4002.580669,154090000,2360000,29,4.002580669,154.09,2.36,348
4002.220824,153450000,2360000,29.8333333333333,4.002220824,153.45,2.36,358
3985.133127,153520000,2350000,50.4166666666667,3.985133127,153.52,2.35,605
4042.095786,154960000,2390000,29.5,4.042095786,154.96,2.39,354
4003.753289,156340000,2370000,28.8333333333333,4.003753289,156.34,2.37,346
4014.528604,154360000,2370000,29,4.014528604,154.36,2.37,348
4012.079465,156110000,2360000,29,4.012079465,156.11,2.36,348
4003.87175,154610000,2370000,18.8333333333333,4.00387175,154.61,2.37,226
4006.097087,156370000,2370000,33.8333333333333,4.006097087,156.37,2.37,406
4009.947402,156670000,2360000,29.5,4.009947402,156.67,2.36,354
3986.67189,153460000,2350000,39.6666666666667,3.98667189,153.46,2.35,476
3996.049861,154060000,2350000,39.6666666666667,3.996049861,154.06,2.35,476
4003.783618,153920000,2360000,39.8333333333333,4.003783618,153.92,2.36,478
4036.544419,158070000,2390000,29.1666666666667,4.036544419,158.07,2.39,350
3993.402503,153930000,2360000,29.75,3.993402503,153.93,2.36,357
4013.936676,157080000,2380000,29.5,4.013936676,157.08,2.38,354
4015.668078,153890000,2370000,19.1666666666667,4.015668078,153.89,2.37,230
4032.397751,155840000,2380000,29,4.032397751,155.84,2.38,348
4015.202718,155110000,2380000,39.9166666666667,4.015202718,155.11,2.38,479
4035.58362,157690000,2390000,29.6666666666667,4.03558362,157.69,2.39,356
4003.038584,156130000,2360000,29.3333333333333,4.003038584,156.13,2.36,352
